problem,form,note,tactic,result,apply_ms,solve_ms,total_ms
wrap_double,recfun,"non-recursive, dbl() as RecFunction",bv-slice,sat,0.03,0.09,0.12
wrap_double,recfun,"non-recursive, dbl() as RecFunction",bvarray2uf,sat,0.02,0.09,0.11
wrap_double,recfun,"non-recursive, dbl() as RecFunction",dt2bv,sat,0.02,0.09,0.11
wrap_double,recfun,"non-recursive, dbl() as RecFunction",elim-small-bv,sat,0.02,0.09,0.11
wrap_double,recfun,"non-recursive, dbl() as RecFunction",max-bv-sharing,sat,0.02,0.09,0.11
wrap_double,recfun,"non-recursive, dbl() as RecFunction",blast-term-ite,sat,0.03,0.09,0.12
wrap_double,recfun,"non-recursive, dbl() as RecFunction",cofactor-term-ite,sat,0.02,0.09,0.11
wrap_double,recfun,"non-recursive, dbl() as RecFunction",collect-statistics,sat,0.2,0.09,0.29
wrap_double,recfun,"non-recursive, dbl() as RecFunction",ctx-simplify,sat,0.02,0.39,0.41
wrap_double,recfun,"non-recursive, dbl() as RecFunction",demodulator,sat,0.02,0.09,0.11
wrap_double,recfun,"non-recursive, dbl() as RecFunction",der,sat,0.02,0.09,0.11
wrap_double,recfun,"non-recursive, dbl() as RecFunction",distribute-forall,sat,0.02,0.09,0.11
wrap_double,recfun,"non-recursive, dbl() as RecFunction",dom-simplify,sat,0.06,0.35,0.41
wrap_double,recfun,"non-recursive, dbl() as RecFunction",elim-term-ite,sat,0.02,0.09,0.11
wrap_double,recfun,"non-recursive, dbl() as RecFunction",elim-uncnstr2,sat,0.05,0.09,0.14
wrap_double,recfun,"non-recursive, dbl() as RecFunction",elim-uncnstr,sat,0.02,0.09,0.11
wrap_double,recfun,"non-recursive, dbl() as RecFunction",elim-predicates,sat,0.06,0.02,0.08
wrap_double,recfun,"non-recursive, dbl() as RecFunction",injectivity,sat,0.02,0.11,0.13
wrap_double,recfun,"non-recursive, dbl() as RecFunction",snf,sat,0.03,0.09,0.12
