task,scale,encoding,theories,combo,combo_len,result,ok,tactic_ms,solve_ms,total_ms,rlimit
dispatch,50,array,array+int,simplify>simplify,2,sat,True,0.02,15.07,15.09,53246
dispatch,50,array,array+int,simplify>propagate-values,2,sat,True,0.02,15.13,15.15,61814
dispatch,50,array,array+int,simplify>solve-eqs,2,sat,True,0.02,14.33,14.35,74267
dispatch,50,array,array+int,simplify>elim-term-ite,2,sat,True,0.03,10.95,10.98,35918
dispatch,50,array,array+int,simplify>propagate-ineqs,2,sat,True,0.04,18.38,18.42,59684
dispatch,50,array,array+int,simplify>ctx-simplify,2,sat,True,0.03,11.02,11.05,22589
dispatch,50,array,array+int,simplify>simplify[blast_select_store=True],2,sat,True,0.1,0.37,0.47,933
dispatch,50,array,array+int,propagate-values>simplify,2,sat,True,0.02,8.52,8.54,29818
dispatch,50,array,array+int,propagate-values>propagate-values,2,sat,True,0.01,13.76,13.77,70601
dispatch,50,array,array+int,propagate-values>solve-eqs,2,sat,True,0.03,16.37,16.4,66881
dispatch,50,array,array+int,propagate-values>elim-term-ite,2,sat,True,0.02,16.78,16.8,57569
dispatch,50,array,array+int,propagate-values>propagate-ineqs,2,sat,True,0.03,13.0,13.03,53169
dispatch,50,array,array+int,propagate-values>ctx-simplify,2,sat,True,0.02,17.67,17.69,64827
dispatch,50,array,array+int,propagate-values>simplify[blast_select_store=True],2,sat,True,0.1,0.44,0.54,877
dispatch,50,array,array+int,solve-eqs>simplify,2,sat,True,0.03,12.58,12.61,51434
dispatch,50,array,array+int,solve-eqs>propagate-values,2,sat,True,0.02,14.22,14.24,61377
dispatch,50,array,array+int,solve-eqs>solve-eqs,2,sat,True,0.02,11.12,11.14,49544
dispatch,50,array,array+int,solve-eqs>elim-term-ite,2,sat,True,0.02,15.06,15.08,58374
dispatch,50,array,array+int,solve-eqs>propagate-ineqs,2,sat,True,0.04,14.36,14.4,44122
dispatch,50,array,array+int,solve-eqs>ctx-simplify,2,sat,True,0.04,13.64,13.68,64509
dispatch,50,array,array+int,solve-eqs>simplify[blast_select_store=True],2,sat,True,0.1,0.37,0.47,883
dispatch,50,array,array+int,elim-term-ite>simplify,2,sat,True,0.02,11.69,11.71,52812
dispatch,50,array,array+int,elim-term-ite>propagate-values,2,sat,True,0.02,13.91,13.93,54546
dispatch,50,array,array+int,elim-term-ite>solve-eqs,2,sat,True,0.02,13.95,13.97,61937
dispatch,50,array,array+int,elim-term-ite>elim-term-ite,2,sat,True,0.01,16.11,16.12,43823
dispatch,50,array,array+int,elim-term-ite>propagate-ineqs,2,sat,True,0.04,12.21,12.25,54022
dispatch,50,array,array+int,elim-term-ite>ctx-simplify,2,sat,True,0.03,20.39,20.42,76772
dispatch,50,array,array+int,elim-term-ite>simplify[blast_select_store=True],2,sat,True,0.09,0.38,0.47,932
dispatch,50,array,array+int,propagate-ineqs>simplify,2,sat,True,0.04,13.39,13.43,62246
dispatch,50,array,array+int,propagate-ineqs>propagate-values,2,sat,True,0.06,12.03,12.09,49265
dispatch,50,array,array+int,propagate-ineqs>solve-eqs,2,sat,True,0.04,8.04,8.08,22183
dispatch,50,array,array+int,propagate-ineqs>elim-term-ite,2,sat,True,0.03,17.03,17.06,74294
dispatch,50,array,array+int,propagate-ineqs>propagate-ineqs,2,sat,True,0.05,8.37,8.42,27414
dispatch,50,array,array+int,propagate-ineqs>ctx-simplify,2,sat,True,0.05,17.26,17.31,60177
dispatch,50,array,array+int,propagate-ineqs>simplify[blast_select_store=True],2,sat,True,0.15,0.38,0.53,991
dispatch,50,array,array+int,ctx-simplify>simplify,2,sat,True,0.03,18.3,18.33,58478
dispatch,50,array,array+int,ctx-simplify>propagate-values,2,sat,True,0.03,16.58,16.61,69368
dispatch,50,array,array+int,ctx-simplify>solve-eqs,2,sat,True,0.03,20.06,20.09,61426
dispatch,50,array,array+int,ctx-simplify>elim-term-ite,2,sat,True,0.03,14.1,14.13,59478
dispatch,50,array,array+int,ctx-simplify>propagate-ineqs,2,sat,True,0.05,16.87,16.92,59145
dispatch,50,array,array+int,ctx-simplify>ctx-simplify,2,sat,True,0.05,9.87,9.92,45350
dispatch,50,array,array+int,ctx-simplify>simplify[blast_select_store=True],2,sat,True,0.11,0.39,0.5,1039
dispatch,50,array,array+int,simplify[blast_select_store=True]>simplify,2,sat,True,0.1,0.38,0.48,928
dispatch,50,array,array+int,simplify[blast_select_store=True]>propagate-values,2,sat,True,0.09,0.33,0.42,491
dispatch,50,array,array+int,simplify[blast_select_store=True]>solve-eqs,2,sat,True,0.11,0.02,0.13,583
dispatch,50,array,array+int,simplify[blast_select_store=True]>elim-term-ite,2,sat,True,0.08,0.36,0.44,928
dispatch,50,array,array+int,simplify[blast_select_store=True]>propagate-ineqs,2,sat,True,0.1,0.36,0.46,940
dispatch,50,array,array+int,simplify[blast_select_store=True]>ctx-simplify,2,sat,True,0.09,0.33,0.42,521
dispatch,50,array,array+int,simplify[blast_select_store=True]>simplify[blast_select_store=True],2,sat,True,0.08,0.36,0.44,928
dispatch,50,func,uf+int,(none),0,sat,True,0.0,0.44,0.44,3328
dispatch,50,func,uf+int,simplify,1,sat,True,0.02,0.41,0.43,3430
dispatch,50,func,uf+int,propagate-values,1,sat,True,0.01,0.43,0.44,3328
dispatch,50,func,uf+int,solve-eqs,1,sat,True,0.03,0.4,0.43,3409
dispatch,50,func,uf+int,elim-term-ite,1,sat,True,0.01,0.4,0.41,3432
dispatch,50,func,uf+int,propagate-ineqs,1,sat,True,0.07,0.41,0.48,3640
dispatch,50,func,uf+int,ctx-simplify,1,sat,True,0.04,0.39,0.43,3538
dispatch,50,func,uf+int,simplify[blast_select_store=True],1,sat,True,0.02,0.39,0.41,3430
dispatch,50,func,uf+int,simplify>simplify,2,sat,True,0.03,0.38,0.41,3535
dispatch,50,func,uf+int,simplify>propagate-values,2,sat,True,0.02,0.38,0.4,3430
dispatch,50,func,uf+int,simplify>solve-eqs,2,sat,True,0.04,0.38,0.42,3511
dispatch,50,func,uf+int,simplify>elim-term-ite,2,sat,True,0.02,0.39,0.41,3535
dispatch,50,func,uf+int,simplify>propagate-ineqs,2,sat,True,0.07,0.39,0.46,3722
dispatch,50,func,uf+int,simplify>ctx-simplify,2,sat,True,0.04,0.38,0.42,3641
dispatch,50,func,uf+int,simplify>simplify[blast_select_store=True],2,sat,True,0.03,0.38,0.41,3535
dispatch,50,func,uf+int,propagate-values>simplify,2,sat,True,0.02,0.38,0.4,3430
dispatch,50,func,uf+int,propagate-values>propagate-values,2,sat,True,0.01,0.38,0.39,3328
dispatch,50,func,uf+int,propagate-values>solve-eqs,2,sat,True,0.03,0.39,0.42,3409
dispatch,50,func,uf+int,propagate-values>elim-term-ite,2,sat,True,0.01,0.38,0.39,3432
dispatch,50,func,uf+int,propagate-values>propagate-ineqs,2,sat,True,0.06,0.39,0.45,3640
dispatch,50,func,uf+int,propagate-values>ctx-simplify,2,sat,True,0.03,0.38,0.41,3538
dispatch,50,func,uf+int,propagate-values>simplify[blast_select_store=True],2,sat,True,0.04,0.38,0.42,3430
dispatch,50,func,uf+int,solve-eqs>simplify,2,sat,True,0.04,0.39,0.43,3511
dispatch,50,func,uf+int,solve-eqs>propagate-values,2,sat,True,0.03,0.38,0.41,3409
dispatch,50,func,uf+int,solve-eqs>solve-eqs,2,sat,True,0.04,0.39,0.43,3490
dispatch,50,func,uf+int,solve-eqs>elim-term-ite,2,sat,True,0.03,0.39,0.42,3513
dispatch,50,func,uf+int,solve-eqs>propagate-ineqs,2,sat,True,0.07,0.39,0.46,3721
dispatch,50,func,uf+int,solve-eqs>ctx-simplify,2,sat,True,0.05,0.38,0.43,3619
dispatch,50,func,uf+int,solve-eqs>simplify[blast_select_store=True],2,sat,True,0.04,0.38,0.42,3511
dispatch,50,func,uf+int,elim-term-ite>simplify,2,sat,True,0.02,0.38,0.4,3534
dispatch,50,func,uf+int,elim-term-ite>propagate-values,2,sat,True,0.01,0.38,0.39,3432
dispatch,50,func,uf+int,elim-term-ite>solve-eqs,2,sat,True,0.03,0.39,0.42,3513
dispatch,50,func,uf+int,elim-term-ite>elim-term-ite,2,sat,True,0.02,0.38,0.4,3536
dispatch,50,func,uf+int,elim-term-ite>propagate-ineqs,2,sat,True,0.06,0.39,0.45,3744
dispatch,50,func,uf+int,elim-term-ite>ctx-simplify,2,sat,True,0.04,0.39,0.43,3642
dispatch,50,func,uf+int,elim-term-ite>simplify[blast_select_store=True],2,sat,True,0.02,0.38,0.4,3534
dispatch,50,func,uf+int,propagate-ineqs>simplify,2,sat,True,0.07,0.39,0.46,3742
dispatch,50,func,uf+int,propagate-ineqs>propagate-values,2,sat,True,0.06,0.39,0.45,3640
dispatch,50,func,uf+int,propagate-ineqs>solve-eqs,2,sat,True,0.07,0.39,0.46,3721
dispatch,50,func,uf+int,propagate-ineqs>elim-term-ite,2,sat,True,0.06,0.39,0.45,3744
dispatch,50,func,uf+int,propagate-ineqs>propagate-ineqs,2,sat,True,0.1,0.39,0.49,3953
dispatch,50,func,uf+int,propagate-ineqs>ctx-simplify,2,sat,True,0.08,0.38,0.46,3850
dispatch,50,func,uf+int,propagate-ineqs>simplify[blast_select_store=True],2,sat,True,0.07,0.38,0.45,3742
dispatch,50,func,uf+int,ctx-simplify>simplify,2,sat,True,0.04,0.38,0.42,3640
dispatch,50,func,uf+int,ctx-simplify>propagate-values,2,sat,True,0.03,0.38,0.41,3538
dispatch,50,func,uf+int,ctx-simplify>solve-eqs,2,sat,True,0.05,0.38,0.43,3619
dispatch,50,func,uf+int,ctx-simplify>elim-term-ite,2,sat,True,0.03,0.4,0.43,3642
dispatch,50,func,uf+int,ctx-simplify>propagate-ineqs,2,sat,True,0.08,0.38,0.46,3850
dispatch,50,func,uf+int,ctx-simplify>ctx-simplify,2,sat,True,0.06,0.38,0.44,3748
dispatch,50,func,uf+int,ctx-simplify>simplify[blast_select_store=True],2,sat,True,0.03,0.38,0.41,3640
dispatch,50,func,uf+int,simplify[blast_select_store=True]>simplify,2,sat,True,0.03,0.38,0.41,3535
